  Year          Age             Female            Male           Total
  2015           0             0.003291        0.003989        0.003647
  2015           1             0.000235        0.000288        0.000262
  2015           2             0.000119        0.000191        0.000156
  2015           3             0.000136        0.000157        0.000147
  2015           4             0.000083        0.000112        0.000098
  2015           5             0.000069        0.000091        0.000080
  2015           6             0.000082        0.000088        0.000085
  2015           7             0.000067        0.000090        0.000079
  2015           8             0.000064        0.000107        0.000086
  2015           9             0.000061        0.000081        0.000071
  2015          10             0.000070        0.000057        0.000063
  2015          11             0.000057        0.000092        0.000075
  2015          12             0.000080        0.000097        0.000089
  2015          13             0.000082        0.000140        0.000112
  2015          14             0.000103        0.000153        0.000129
  2015          15             0.000146        0.000223        0.000185
  2015          16             0.000157        0.000291        0.000226
  2015          17             0.000125        0.000309        0.000219
  2015          18             0.000214        0.000434        0.000327
  2015          19             0.000188        0.000525        0.000360
  2015          20             0.000227        0.000529        0.000381
  2015          21             0.000221        0.000657        0.000442
  2015          22             0.000178        0.000523        0.000353
  2015          23             0.000221        0.000596        0.000410
  2015          24             0.000235        0.000644        0.000440
  2015          25             0.000245        0.000637        0.000440
  2015          26             0.000211        0.000707        0.000456
  2015          27             0.000241        0.000696        0.000465
  2015          28             0.000239        0.000746        0.000488
  2015          29             0.000311        0.000827        0.000564
  2015          30             0.000266        0.000803        0.000529
  2015          31             0.000368        0.000951        0.000654
  2015          32             0.000337        0.000818        0.000573
  2015          33             0.000370        0.000880        0.000620
  2015          34             0.000367        0.001055        0.000705
  2015          35             0.000400        0.001051        0.000720
  2015          36             0.000543        0.001120        0.000827
  2015          37             0.000538        0.001207        0.000869
  2015          38             0.000629        0.001239        0.000932
  2015          39             0.000656        0.001374        0.001012
  2015          40             0.000740        0.001498        0.001117
  2015          41             0.000819        0.001721        0.001267
  2015          42             0.000870        0.001707        0.001286
  2015          43             0.001092        0.002108        0.001597
  2015          44             0.001114        0.002278        0.001693
  2015          45             0.001264        0.002629        0.001942
  2015          46             0.001406        0.002739        0.002065
  2015          47             0.001604        0.003145        0.002364
  2015          48             0.001826        0.003204        0.002506
  2015          49             0.001752        0.003620        0.002674
  2015          50             0.002140        0.003910        0.003011
  2015          51             0.002352        0.004239        0.003279
  2015          52             0.002317        0.004778        0.003524
  2015          53             0.002680        0.005118        0.003875
  2015          54             0.002952        0.005937        0.004411
  2015          55             0.003138        0.006625        0.004835
  2015          56             0.003358        0.007249        0.005247
  2015          57             0.003624        0.008001        0.005743
  2015          58             0.003775        0.008579        0.006094
  2015          59             0.004189        0.009201        0.006598
  2015          60             0.004367        0.010119        0.007127
  2015          61             0.004616        0.010665        0.007517
  2015          62             0.004861        0.011443        0.008013
  2015          63             0.005382        0.012185        0.008636
  2015          64             0.005633        0.012842        0.009078
  2015          65             0.006159        0.013670        0.009740
  2015          66             0.006339        0.014495        0.010227
  2015          67             0.006794        0.015022        0.010711
  2015          68             0.007392        0.016527        0.011717
  2015          69             0.008179        0.017237        0.012442
  2015          70             0.008898        0.019351        0.013785
  2015          71             0.009979        0.020425        0.014837
  2015          72             0.010785        0.022017        0.015995
  2015          73             0.011991        0.023511        0.017292
  2015          74             0.012999        0.026523        0.019138
  2015          75             0.014888        0.028034        0.020787
  2015          76             0.016984        0.031386        0.023358
  2015          77             0.018338        0.034587        0.025413
  2015          78             0.020457        0.038977        0.028377
  2015          79             0.023528        0.043888        0.032060
  2015          80             0.027331        0.049666        0.036486
  2015          81             0.033157        0.056216        0.042438
  2015          82             0.037946        0.064219        0.048284
  2015          83             0.043658        0.073401        0.055040
  2015          84             0.050739        0.082858        0.062618
  2015          85             0.058240        0.094183        0.071145
  2015          86             0.068491        0.107090        0.081870
  2015          87             0.079018        0.119469        0.092514
  2015          88             0.090672        0.137110        0.105514
  2015          89             0.105997        0.155274        0.120946
  2015          90             0.122528        0.174779        0.137614
  2015          91             0.139951        0.198586        0.156089
  2015          92             0.156093        0.219515        0.172720
  2015          93             0.182361        0.246261        0.198283
  2015          94             0.206164        0.272844        0.221906
  2015          95             0.228087        0.294758        0.242953
  2015          96             0.251741        0.337157        0.269290
  2015          97             0.282725        0.360249        0.297156
  2015          98             0.319317        0.400330        0.333018
  2015          99             0.350490        0.445626        0.365360
  2015         100             0.397326        0.463257        0.407015
  2015         101             0.424885        0.530612        0.439053
  2015         102             0.480254        0.605415        0.495684
  2015         103             0.581459        0.646207        0.588813
  2015         104             0.618352        0.599590        0.616414
  2015         105             0.619649        0.777613        0.634102
  2015         106             0.633231        0.720507        0.640659
  2015         107             0.675949        0.775017        0.683533
  2015         108             0.708742        0.840542        0.717453
  2015         109             0.751466        0.958799        0.763198
  2015         110+            0.833836        1.559460        0.851229
  2016           0             0.003240        0.003975        0.003616
  2016           1             0.000265        0.000212        0.000238
  2016           2             0.000144        0.000211        0.000178
  2016           3             0.000100        0.000151        0.000126
  2016           4             0.000087        0.000108        0.000098
  2016           5             0.000092        0.000109        0.000101
  2016           6             0.000061        0.000112        0.000087
  2016           7             0.000057        0.000078        0.000068
  2016           8             0.000061        0.000058        0.000060
  2016           9             0.000056        0.000065        0.000061
  2016          10             0.000069        0.000088        0.000079
  2016          11             0.000072        0.000066        0.000069
  2016          12             0.000063        0.000072        0.000068
  2016          13             0.000060        0.000109        0.000085
  2016          14             0.000113        0.000130        0.000122
  2016          15             0.000128        0.000179        0.000154
  2016          16             0.000115        0.000188        0.000153
  2016          17             0.000127        0.000318        0.000225
  2016          18             0.000156        0.000442        0.000303
  2016          19             0.000198        0.000515        0.000360
  2016          20             0.000215        0.000508        0.000364
  2016          21             0.000187        0.000542        0.000368
  2016          22             0.000232        0.000573        0.000404
  2016          23             0.000272        0.000610        0.000443
  2016          24             0.000209        0.000599        0.000404
  2016          25             0.000227        0.000637        0.000432
  2016          26             0.000263        0.000728        0.000494
  2016          27             0.000254        0.000723        0.000486
  2016          28             0.000267        0.000722        0.000491
  2016          29             0.000353        0.000684        0.000515
  2016          30             0.000299        0.000714        0.000502
  2016          31             0.000332        0.000818        0.000570
  2016          32             0.000369        0.000827        0.000592
  2016          33             0.000400        0.000900        0.000645
  2016          34             0.000410        0.000956        0.000678
  2016          35             0.000402        0.001014        0.000702
  2016          36             0.000484        0.000997        0.000736
  2016          37             0.000510        0.001238        0.000868
  2016          38             0.000566        0.001243        0.000901
  2016          39             0.000686        0.001345        0.001012
  2016          40             0.000701        0.001386        0.001041
  2016          41             0.000686        0.001599        0.001140
  2016          42             0.000815        0.001831        0.001319
  2016          43             0.001021        0.001991        0.001502
  2016          44             0.001124        0.002080        0.001599
  2016          45             0.001303        0.002299        0.001798
  2016          46             0.001337        0.002560        0.001943
  2016          47             0.001608        0.002946        0.002269
  2016          48             0.001694        0.003161        0.002417
  2016          49             0.001896        0.003582        0.002728
  2016          50             0.002036        0.003877        0.002943
  2016          51             0.002043        0.004176        0.003092
  2016          52             0.002327        0.004361        0.003324
  2016          53             0.002484        0.005073        0.003752
  2016          54             0.002712        0.005698        0.004173
  2016          55             0.002999        0.006194        0.004558
  2016          56             0.003252        0.007174        0.005158
  2016          57             0.003729        0.007715        0.005661
  2016          58             0.003879        0.008318        0.006022
  2016          59             0.004220        0.009006        0.006523
  2016          60             0.004599        0.009949        0.007162
  2016          61             0.004776        0.010703        0.007610
  2016          62             0.004989        0.011689        0.008191
  2016          63             0.005382        0.012371        0.008718
  2016          64             0.005820        0.012744        0.009121
  2016          65             0.006299        0.013595        0.009773
  2016          66             0.006621        0.014328        0.010283
  2016          67             0.006941        0.014974        0.010754
  2016          68             0.007112        0.016144        0.011389
  2016          69             0.008047        0.017588        0.012545
  2016          70             0.008744        0.019113        0.013597
  2016          71             0.009821        0.020078        0.014583
  2016          72             0.010978        0.021574        0.015884
  2016          73             0.011628        0.023718        0.017196
  2016          74             0.012882        0.025273        0.018543
  2016          75             0.014059        0.028335        0.020495
  2016          76             0.015662        0.030022        0.022045
  2016          77             0.018059        0.033867        0.024978
  2016          78             0.020885        0.037827        0.028184
  2016          79             0.023394        0.042102        0.031315
  2016          80             0.026997        0.046566        0.035095
  2016          81             0.030894        0.053887        0.040196
  2016          82             0.036044        0.060795        0.045854
  2016          83             0.043185        0.069995        0.053563
  2016          84             0.049523        0.080660        0.061218
  2016          85             0.057810        0.090578        0.069680
  2016          86             0.066657        0.102400        0.079197
  2016          87             0.075734        0.118252        0.090101
  2016          88             0.087629        0.132437        0.102144
  2016          89             0.102507        0.149502        0.117063
  2016          90             0.118188        0.172299        0.134036
  2016          91             0.134914        0.183244        0.148338
  2016          92             0.153350        0.218052        0.170415
  2016          93             0.173280        0.245598        0.191338
  2016          94             0.198025        0.268609        0.214705
  2016          95             0.225151        0.296268        0.241073
  2016          96             0.248468        0.333966        0.266397
  2016          97             0.275192        0.368131        0.293049
  2016          98             0.307669        0.405835        0.324617
  2016          99             0.325790        0.476070        0.349000
  2016         100             0.373750        0.500196        0.391813
  2016         101             0.415468        0.548573        0.433351
  2016         102             0.448668        0.560263        0.462356
