year,age,sex,qx_annual
2015,0,F,0.003291
2015,1,F,0.000235
2015,2,F,0.000119
2015,3,F,0.000136
2015,4,F,8.3e-05
2015,5,F,6.9e-05
2015,6,F,8.2e-05
2015,7,F,6.7e-05
2015,8,F,6.4e-05
2015,9,F,6.1e-05
2015,10,F,7e-05
2015,11,F,5.7e-05
2015,12,F,8e-05
2015,13,F,8.2e-05
2015,14,F,0.000103
2015,15,F,0.000146
2015,16,F,0.000157
2015,17,F,0.000125
2015,18,F,0.000214
2015,19,F,0.000188
2015,20,F,0.000227
2015,21,F,0.000221
2015,22,F,0.000178
2015,23,F,0.000221
2015,24,F,0.000235
2015,25,F,0.000245
2015,26,F,0.000211
2015,27,F,0.000241
2015,28,F,0.000239
2015,29,F,0.000311
2015,30,F,0.000266
2015,31,F,0.000368
2015,32,F,0.000337
2015,33,F,0.00037
2015,34,F,0.000367
2015,35,F,0.0004
2015,36,F,0.000543
2015,37,F,0.000538
2015,38,F,0.000629
2015,39,F,0.000656
2015,40,F,0.00074
2015,41,F,0.000819
2015,42,F,0.00087
2015,43,F,0.001092
2015,44,F,0.001114
2015,45,F,0.001264
2015,46,F,0.001406
2015,47,F,0.001604
2015,48,F,0.001826
2015,49,F,0.001752
2015,50,F,0.00214
2015,51,F,0.002352
2015,52,F,0.002317
2015,53,F,0.00268
2015,54,F,0.002952
2015,55,F,0.003138
2015,56,F,0.003358
2015,57,F,0.003624
2015,58,F,0.003775
2015,59,F,0.004189
2015,60,F,0.004367
2015,61,F,0.004616
2015,62,F,0.004861
2015,63,F,0.005382
2015,64,F,0.005633
2015,65,F,0.006159
2015,66,F,0.006339
2015,67,F,0.006794
2015,68,F,0.007392
2015,69,F,0.008179
2015,70,F,0.008898
2015,71,F,0.009979
2015,72,F,0.010785
2015,73,F,0.011991
2015,74,F,0.012999
2015,75,F,0.014888
2015,76,F,0.016984
2015,77,F,0.018338
2015,78,F,0.020457
2015,79,F,0.023528
2015,80,F,0.027331
2015,81,F,0.033157
2015,82,F,0.037946
2015,83,F,0.043658
2015,84,F,0.050739
2015,85,F,0.05824
2015,86,F,0.068491
2015,87,F,0.079018
2015,88,F,0.090672
2015,89,F,0.105997
2015,90,F,0.122528
2015,91,F,0.139951
2015,92,F,0.156093
2015,93,F,0.182361
2015,94,F,0.206164
2015,95,F,0.228087
2015,96,F,0.251741
2015,97,F,0.282725
2015,98,F,0.319317
2015,99,F,0.35049
2015,00,F,0.397326
2015,01,F,0.424885
2015,02,F,0.480254
2015,03,F,0.581459
2015,04,F,0.618352
2015,05,F,0.619649
2015,06,F,0.633231
2015,07,F,0.675949
2015,08,F,0.708742
2015,09,F,0.751466
2015,10+,F,0.833836
2016,0,F,0.00324
2016,1,F,0.000265
2016,2,F,0.000144
2016,3,F,0.0001
2016,4,F,8.7e-05
2016,5,F,9.2e-05
2016,6,F,6.1e-05
2016,7,F,5.7e-05
2016,8,F,6.1e-05
2016,9,F,5.6e-05
2016,10,F,6.9e-05
2016,11,F,7.2e-05
2016,12,F,6.3e-05
2016,13,F,6e-05
2016,14,F,0.000113
2016,15,F,0.000128
2016,16,F,0.000115
2016,17,F,0.000127
2016,18,F,0.000156
2016,19,F,0.000198
2016,20,F,0.000215
2016,21,F,0.000187
2016,22,F,0.000232
2016,23,F,0.000272
2016,24,F,0.000209
2016,25,F,0.000227
2016,26,F,0.000263
2016,27,F,0.000254
2016,28,F,0.000267
2016,29,F,0.000353
2016,30,F,0.000299
2016,31,F,0.000332
2016,32,F,0.000369
2016,33,F,0.0004
2016,34,F,0.00041
2016,35,F,0.000402
2016,36,F,0.000484
2016,37,F,0.00051
2016,38,F,0.000566
2016,39,F,0.000686
2016,40,F,0.000701
2016,41,F,0.000686
2016,42,F,0.000815
2016,43,F,0.001021
2016,44,F,0.001124
2016,45,F,0.001303
2016,46,F,0.001337
2016,47,F,0.001608
2016,48,F,0.001694
2016,49,F,0.001896
2016,50,F,0.002036
2016,51,F,0.002043
2016,52,F,0.002327
2016,53,F,0.002484
2016,54,F,0.002712
2016,55,F,0.002999
2016,56,F,0.003252
2016,57,F,0.003729
2016,58,F,0.003879
2016,59,F,0.00422
2016,60,F,0.004599
2016,61,F,0.004776
2016,62,F,0.004989
2016,63,F,0.005382
2016,64,F,0.00582
2016,65,F,0.006299
2016,66,F,0.006621
2016,67,F,0.006941
2016,68,F,0.007112
2016,69,F,0.008047
2016,70,F,0.008744
2016,71,F,0.009821
2016,72,F,0.010978
2016,73,F,0.011628
2016,74,F,0.012882
2016,75,F,0.014059
2016,76,F,0.015662
2016,77,F,0.018059
2016,78,F,0.020885
2016,79,F,0.023394
2016,80,F,0.026997
2016,81,F,0.030894
2016,82,F,0.036044
2016,83,F,0.043185
2016,84,F,0.049523
2016,85,F,0.05781
2016,86,F,0.066657
2016,87,F,0.075734
2016,88,F,0.087629
2016,89,F,0.102507
2016,90,F,0.118188
2016,91,F,0.134914
2016,92,F,0.15335
2016,93,F,0.17328
2016,94,F,0.198025
2016,95,F,0.225151
2016,96,F,0.248468
2016,97,F,0.275192
2016,98,F,0.307669
2016,99,F,0.32579
2016,00,F,0.37375
2016,01,F,0.415468
2016,02,F,0.448668
2016,03,F,0.522865
2016,04,F,0.704725
2016,05,F,0.669824
2016,06,F,0.714443
2016,07,F,0.771526
2016,08,F,0.83719
2016,09,F,0.890757
2016,10+,F,1.034905
2017,0,F,0.003491
2017,1,F,0.00026
